               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.028504,            0.017994,           0.0059425,             0.82621,              0.7678,             0.82982,             0.56601,            0.028439,           0.0085342,            0.005744,           0.0074062,           0.0074062,           0.0074062
                 133,            0.027983,            0.018279,           0.0060323,             0.82147,             0.70675,             0.79354,             0.55154,            0.028065,           0.0086736,           0.0083808,           0.0073864,           0.0073864,           0.0073864
                 134,            0.027831,            0.017588,           0.0054655,             0.83744,             0.74745,             0.82906,             0.56974,            0.028151,           0.0085768,           0.0080278,           0.0073666,           0.0073666,           0.0073666
                 135,            0.027855,            0.017645,           0.0059145,             0.79918,             0.78737,             0.82469,             0.58163,            0.028365,           0.0084924,           0.0056237,           0.0073468,           0.0073468,           0.0073468
                 136,            0.028086,            0.017739,           0.0056858,             0.81383,               0.784,             0.82519,              0.5712,            0.028507,           0.0086818,           0.0054875,            0.007327,            0.007327,            0.007327
                 137,            0.027524,            0.018216,           0.0054464,             0.81871,              0.7231,               0.794,             0.53977,             0.02814,           0.0089203,           0.0077734,           0.0073072,           0.0073072,           0.0073072
                 138,            0.028265,            0.017853,           0.0060133,             0.84475,             0.73638,              0.8115,             0.56835,            0.028175,           0.0085361,           0.0054233,           0.0072874,           0.0072874,           0.0072874
                 139,            0.027678,            0.018498,           0.0058442,              0.7732,              0.7697,             0.80555,             0.55906,            0.028586,           0.0085822,            0.006978,           0.0072676,           0.0072676,           0.0072676
                 140,            0.027867,            0.017812,           0.0056826,             0.78787,             0.77075,             0.81424,              0.5535,            0.028594,           0.0086392,           0.0078799,           0.0072478,           0.0072478,           0.0072478
                 141,            0.027846,            0.017683,           0.0052959,             0.80628,             0.76548,             0.80884,              0.5576,            0.028318,           0.0086658,           0.0061598,            0.007228,            0.007228,            0.007228
                 142,            0.027522,            0.017942,           0.0053611,             0.80985,             0.77723,              0.8233,              0.5683,            0.027806,           0.0084819,           0.0057251,           0.0072082,           0.0072082,           0.0072082
                 143,            0.027458,            0.017523,           0.0053892,             0.80605,             0.77751,             0.82385,             0.56537,             0.02824,           0.0084378,           0.0066155,           0.0071884,           0.0071884,           0.0071884
                 144,            0.027629,            0.017299,           0.0058431,             0.82032,              0.7781,             0.82872,             0.57522,            0.027692,           0.0086049,           0.0075069,           0.0071686,           0.0071686,           0.0071686
                 145,            0.027814,            0.017844,           0.0056578,             0.80696,             0.77896,             0.81816,             0.56658,            0.028144,           0.0087343,           0.0063687,           0.0071488,           0.0071488,           0.0071488
                 146,            0.027495,            0.017995,           0.0056607,             0.80687,             0.75263,             0.81083,             0.55335,            0.028065,           0.0083022,           0.0068948,            0.007129,            0.007129,            0.007129
                 147,            0.027602,            0.018049,           0.0055543,             0.78253,             0.77371,             0.82138,             0.56451,            0.027979,           0.0088824,           0.0060831,           0.0071092,           0.0071092,           0.0071092
                 148,            0.027417,            0.017704,           0.0056062,             0.83775,             0.73363,             0.80951,             0.55774,            0.028156,           0.0087035,             0.00768,           0.0070894,           0.0070894,           0.0070894
                 149,            0.027251,            0.017814,           0.0054992,             0.84364,             0.72345,             0.81199,             0.55263,             0.02878,           0.0085802,           0.0059431,           0.0070696,           0.0070696,           0.0070696
